employee_id,employee_name,department,salary,hire_date
1001,John Smith,Engineering,72000,2026-01-15
1002,Sarah Jones,Finance,65000,2026-01-18
1003,Michael Brown,Engineering,78000,2026-02-03
1004,Emma Wilson,HR,58000,2026-02-10
1005,David Taylor,Finance,69000,2026-02-14
1006,Olivia Davis,Engineering,81000,2026-03-01
1007,James Miller,IT,75000,2026-03-05
1008,Sophia Anderson,HR,61000,2026-03-12
1009,Daniel Thomas,IT,83000,2026-03-20
1010,Emily Moore,Finance,67000,2026-04-02
1011,John Smith,Engineering,72000,2026-04-15
1012,Lucas Martin,IT,79000,2026-04-21
1013,Grace Jackson,HR,59000,2026-05-04
1014,Henry White,Engineering,85000,2026-05-11
1015,Mia Harris,Finance,71000,2026-05-19
1016,Noah Clark,IT,88000,2026-06-01
1017,Ava Lewis,HR,62000,2026-06-08
1018,James Miller,IT,75000,2026-06-15
1019,Ethan Walker,Engineering,76000,2026-07-02
1020,Isabella Hall,Finance,73000,2026-07-10
